OBJECTID,Shape,PARCELS_ID,Shape_Length,Shape_Area
1,Polygon,219,771,34756
2,Polygon,220,951,37783
3,Polygon,222,1094,74870
4,Polygon,221,3841,367909
5,Polygon,223,953,21397
6,Polygon,224,575,17960
7,Polygon,225,714,31394
8,Polygon,241,1309,96184
9,Polygon,226,5870,1830162
10,Polygon,242,1212,81143
11,Polygon,227,1609,161872
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
